PI597965	25675969	1331602	505620	1250532
PI597966	26400708	1196128	483299	1139510
PI597967	26981264	999669	408262	960442
PI597968	25027032	1476870	589457	1403885
PI597970	15397961	836452	109906	633042
PI597971	25937804	1299010	467636	1202954
PI597972	25103178	1546185	615261	1467453
PI597973	25244760	1495076	534569	1379089
PI597974	22538184	1323822	208293	1025167
PI597975	16808013	799256	109514	607221
PI597976	25702470	1419743	524910	1321058
PI597977	20491021	1304802	192297	1001502
PI597978	21627612	1091363	158482	837593
PI597979	22664416	1290342	206100	1004136
PI597980	26408864	1144683	428947	1072875
PI597981	20445655	997042	140355	763213
PI597982	25928685	1284911	496673	1210701
PI598069	24646332	1663158	665738	1581620
PI598070	19808781	1588908	260032	1237914
PI601816	27009120	964166	346050	892508
PI607931	27282959	966314	402480	930774
PI609456	21549758	2690797	1154727	2583231
PI613536	25624859	1420218	504873	1307717
PI629034	26050885	1267295	477228	1188272
PI629040	25033665	1431031	620866	1395461
PI629059	27415336	810972	282224	742662
PI641824	22205049	1150633	182041	888763
PI641836	26804799	1034348	429009	991737
PI641849	24828337	1536544	658467	1485418
PI641874	22272164	1048465	173624	813926
PI642791	27058991	998778	353169	916014
PI642793	26860777	1051602	403776	988253
PI642992	25712598	1350153	607031	1330715
PI642998	23221710	2098087	750234	1926003
PI651492	25338757	1364073	524736	1281484
PI651496	26125242	1190194	471653	1130096
PI653616	26117492	1163604	464008	1100440
PI653617	22188931	1399154	238998	1096368
PI655970	27481243	773037	302756	726894
PI655971	24414569	1664104	645658	1567103
PI655972	26563760	1050085	408383	987304
PI655973	22565795	1142389	181256	888357
PI655974	27510297	726316	401311	762855
PI655975	27101295	955618	394226	913341
